
This file was downloaded on 2021-10-19T04:14:35 UTC from snrcat.physics.umanitoba.ca
G;id_uncertain;id_new;id_alt;id_old;type;type_uncertain;context;remnant;SN_year;SN_association;age_min (yr);age_max (yr);distance_min (kpc);distance_max (kpc);size_coarse (arcmin);size_imprecise;size_radio;size_X;J2000_ra (hh:mm:ss);J2000_dec (dd:mm:ss);J2000_from
G017.4-02.3;;;;;shell;;;eje;;;;;;;24;;24';;18:30:55;-14:52:00;Green J coord
G017.8-02.6;;;;;shell;;;eje;;;;;;;24;;24';;18:32:50;-14:39:00;Green J coord
G018.0-00.7;;;Turkey;;filled-centre;1;(bow shock?) PWN G18.00-0.69 = Turkey and PSR J1826-1334 = B1823-13;eje?,PSR,PWN;;;;;2.9;3.3;0.26;1;;25"x10";18:26:13;-13:34:50;paper G name
G018.1-00.1;;;;G18.1-0.2, G18.16-0.16;shell;;;eje;;;5100;9000;5.6;6.6;8;;8';;18:24:34;-13:11:00;Green J coord
G018.5-00.4;;;Eel;;filled-centre;;PWN G18.5-0.4 = the Eel and PSR J1826-1256;PSR,PWN;;;;;;;20;;;20';18:26:10;-13:00:10;paper G name
G018.6-00.2;;;;G18.62-0.28;shell;;;eje;;;;;4.2;4.6;6;;6';;18:25:55;-12:50:00;Green J coord
G018.8+00.3;;;Kes 67;G18.9+0.3;shell;;in complex region near HII region W39;eje;;;100000;100000;13.4;14.2;14;;17'x11';;18:23:58;-12:23:00;Green J coord
G018.9-01.1;;;;G18.95-1.1,G18.94-1.04;plerionic composite;;contains PWN and PSR candidate CXOU J182913.1-125113;eje,PSR,PWN?;;;2800;6100;1.6;2.5;33;;33';7.7';18:29:50;-12:58:00;Green J coord
G019.1+00.2;;;;G19.15+0.27;shell;;;eje;;;;;;;27;;27';;18:24:56;-12:07:00;Green J coord
G020.0-00.2;;;;G20.07-0.14;filled-centre;;contains PWN?, close to HII region GAL 20.08-0.14;PWN?;;;;;10.9;11.5;10;;10';1.8'x1.1';18:28:07;-11:35:00;Green J coord
G020.4+00.1;;;;G20.47+0.16;shell;;;eje;;;;;7.6;8;8;;8';;18:27:51;-11:00:00;Green J coord
G021.0-00.4;;;;G21.04-0.47;shell;;;eje;;;;;;;8;;9'x7';;18:31:12;-10:47:00;Green J coord
G021.5-00.1;;;;G21.56-0.10;shell;;;eje;;;;;;;5;;5';;18:30:50;-10:09:00;Green J coord
G021.5-00.9;;;;;plerionic composite;;contains PSR J1833-1034 + PWN G21.50-0.89;eje,PSR,PWN;;;1550;1800;4.2;4.6;5;;5';1.3';18:33:34;-10:34:07;NS J coord
G021.6-00.8;;;;G21.64-0.84;shell;;;eje;;;;;;;13;;13';;18:33:40;-10:25:00;Green J coord
G021.8-00.6;;;Kes 69;;thermal composite;;;eje;;;8800;9200;5.4;5.8;20;;20';;18:32:45;-10:08:00;Green J coord
G021.9-00.1;1;simplified;;;filled-centre;1;PWN G21.88-0.10 and PSR J1831-0952;PSR,PWN?;;;;;;;0;1;;-;18:31:27;-09:52:10;paper G name
G022.7-00.2;;;;;shell;1;overlaps SNR G23.3-0.3, contains point source XMMU J183245-0921539;eje?;;;;;4.5;4.9;26;;26';;18:33:15;-09:13:00;Green J coord
G023.3-00.3;;;W41;;shell;1;overlaps SNR G22.7-0.2, contains PSR J1834-0845 = magnetar J1834.9-0846, close to PSR J1833-0827 and PWN G23.5+0.1;eje,PSR,PWN?;;;60000;200000;4.6;5;27;;27';;18:34:45;-08:48:00;Green J coord
G023.5+00.1;1;;;;filled-centre;1;bow shock PWN candidate G23.5+0.1 and PSR J1833-0827 = B1830-08, close to SNR G23.3-0.3 = W41;PSR,PWN?;;;;;;;3;1;;~3';18:33:40;-08:20:20;paper G name
G023.6+00.3;;;;;unknown;1;in complex region;eje?;;;;;5.7;6.1;10;;10';;18:33:03;-08:13:00;Green J coord
G024.7+00.6;;;;;plerionic composite;1;contains PWN?, adjacent to HII regions;eje?,PWN?;;;9500;9500;3.2;3.7;21;1;30'x15';;18:34:10;-07:05:00;Green J coord
G024.7-00.6;;;;;shell;1;;eje?;;;;;3.6;4;15;;15';;18:38:43;-07:32:00;Green J coord
G025.1-02.3;;;;;shell;;;eje;;;;;2.9;2.9;50;1;80'x30';;18:45:09;-07:59:42;paper J coord
G025.2+00.3;1;;G25.25+0.28;G025.5+00.0;plerionic composite;;contains PSR J1838-0655 + PWN G25.24-0.19 = AX J1838.0-0655, PWN candidate G25.21-0.02 = AX J1837.3-0652, adjacent to massive star cluster;eje?,PSR,PWN;;;;;;;1.6;1;;1.3' and 2';18:36:24;-06:42:00;paper J coord
G026.6-00.1;1;;;;filled-centre;1;near PSR J1838-0537, near star forming region, close to SNR G27.4+0.0 = Kes 73;eje?,PWN?;;;;;1.3;1.3;12;;;12';18:40:10;-05:41:00;paper G name
G027.4+00.0;;;(Kes 73), 4C-04.71;G27.3-0.1;shell;;contains AXP 1E 1841-045 (magnetar), close to SNR candidate G26.6-0.1;eje,PSR;;;750;2100;5.8;9.8;4;;4';;18:41:19;-04:56:00;Green J coord
G027.8+00.6;;;;;filled-centre;;contains PWN?;PWN?;;;;;;;39;;50'x30';1';18:39:50;-04:24:00;Green J coord
G028.6-00.1;;;;;shell;;;eje;;;14200;14800;7;9.6;11;;13'x9';;18:43:55;-03:53:00;Green J coord
G028.8+01.5;;;;;thermal composite;1;;eje?;;;32000;32000;2.8;4;100;;100';;18:39:00;-02:55:00;Green J coord
G029.4+00.1;1;simplified;G29.3667+0.1000;;plerionic composite;1;PWN in complex radio source G29.37+0.1, close to radio galaxy PMN J1844-0306;eje?,PWN;;;;;5.2;15.8;9;;9';;18:44:34;-03:07:40;paper G name
G029.6+00.1;;;;;shell;;contains AXP candidate AX J1845-0258 (magnetar?);eje,PSR?;;;;8000;4.4;5;5;;5';;18:44:52;-02:57:00;Green J coord
G029.7-00.3;;;Kes 75;;plerionic composite;;contains high-B PSR J1846-0258 (magnetar?) + PWN;eje,PSR,PWN;;;1690;1850;5.3;5.9;3;;3';38";18:46:25;-02:59:00;Green J coord
G030.7+01.0;;;;;shell;1;;eje?;;;;;;;21;;24'x18';;18:44:00;-01:32:00;Green J coord
G030.7-02.0;;;;;unknown;1;contains compact source near centre;eje?;;;;;;;16;;16';;18:54:25;-02:54:00;Green J coord
G031.5-00.6;;;;G31.55-0.65;shell;1;;eje?;;;;;;;18;;18';;18:51:10;-01:31:00;Green J coord
